country_name,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,
Africa Eastern and Southern,AFE,39.1047528492012,38.9039800957902,38.7032073423792,38.5024345889681,37.8406467655959,37.6421527632078,37.4438212701902,37.2453251750786,37.047084435571,36.8486322944731,36.6482350829761,36.4089620173726,31.8906540898919,31.6806349371412,31.4706339012314,31.2604197322287,31.0396815593755,30.8243162615385,30.6115118196972,30.3916258622835,30.1742524356603,29.9551937873237,29.7372051021705,
Afghanistan,AFG,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,
Africa Western and Central,AFW,21.5952835465819,21.5031563447265,21.411029142871,21.3189019410156,21.2267747391601,21.1346475373047,21.0425203354492,20.9503931335938,20.8582659317383,20.7661387298829,20.6740115280274,20.586055376098,20.4980992241686,20.4101430722392,20.3221869203098,20.2342307683804,20.1526101563381,20.0713271823989,19.9860995956125,19.9012301104615,19.8167839774834,19.7320365324224,19.6474877713602,
Angola,AGO,62.3314430095452,61.8862188176787,61.4409946258121,60.9957704339456,60.5505462420791,60.1053220502126,59.660097858346,59.2148736664795,58.769649474613,58.3244252827465,57.8792010908799,57.4339760968958,56.9887511029117,56.5435261089276,56.0983011149435,55.6530761209593,55.2078447100345,54.7626293414615,54.3174059517125,53.8721745407877,53.4269511510388,52.9817223871019,52.5364972326943,
Albania,ALB,28.0766423357664,28.1232481751825,28.1698540145985,28.2164598540146,28.2630656934307,28.3096715328467,28.3562773722628,28.4028832116788,28.4494890510949,28.4960948905109,28.542700729927,28.5946532846715,28.6466058394161,28.6985583941606,28.7505109489051,28.8024635036496,28.8021897810219,28.7920620437956,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,
Andorra,AND,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,
Arab World,ARB,1.72240922488866,1.72047979289802,1.71855036090738,1.71664843090733,1.71472049420213,1.71278950510318,1.71085090568476,1.70891841103747,1.70698744257072,1.70543899396332,1.70351032861463,1.69743202691255,2.95640543718181,2.93793699681367,2.91945174695356,2.90093803852791,2.88332326122098,2.86394290918001,2.84442046915972,2.82662078765584,2.80889526080167,2.79112084453801,2.77355392704447,
United Arab Emirates,ARE,4.35694170656153,4.36802309208674,4.37910447761194,4.39018586313714,4.40126724866235,4.41234863418755,4.42343001971276,4.43451140523796,4.44559279076317,4.45667417628837,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,
Argentina,ARG,12.1964855354461,12.0808714176615,11.9652572998769,11.8496431820922,11.7340290643076,11.618414946523,11.5028008287384,11.3871867109537,11.2715725931691,11.1559584753845,11.0403443575999,10.9587128976976,10.8770814377953,10.795449977893,10.7138185179907,10.6321870580884,10.6003968297469,10.5598368832422,10.5203731515078,10.4801786099266,10.4407148781923,10.4007639520735,10.3611377978507,
